Timestamp | Device_ID | Temperature (Celsius) | Status
2026-06-02 12:02:43 | WARD_B_TEMP_01 | 36.9 | NORMAL
2026-06-02 12:02:43 | WARD_B_TEMP_02 | 37.6 | WARNING
2026-06-02 12:02:43 | WARD_B_TEMP_03 | 35.2 | CRITICAL
2026-06-02 12:02:43 | WARD_B_TEMP_04 | 39.3 | CRITICAL
2026-06-02 12:02:43 | WARD_B_TEMP_05 | 37.4 | NORMAL
2026-06-02 12:02:44 | WARD_B_TEMP_01 | 36.9 | NORMAL
2026-06-02 12:02:44 | WARD_B_TEMP_02 | 37.7 | WARNING
2026-06-02 12:02:44 | WARD_B_TEMP_03 | 35.9 | NORMAL
2026-06-02 12:02:44 | WARD_B_TEMP_04 | 34.6 | CRITICAL
2026-06-02 12:02:44 | WARD_B_TEMP_05 | 34.6 | CRITICAL
2026-06-02 12:02:45 | WARD_B_TEMP_01 | 36.3 | NORMAL
2026-06-02 12:02:45 | WARD_B_TEMP_02 | 36.7 | NORMAL
2026-06-02 12:02:45 | WARD_B_TEMP_03 | 38.4 | CRITICAL
2026-06-02 12:02:45 | WARD_B_TEMP_04 | 38.0 | WARNING
2026-06-02 12:02:45 | WARD_B_TEMP_05 | 36.7 | NORMAL
2026-06-02 12:02:46 | WARD_B_TEMP_01 | 35.3 | CRITICAL
2026-06-02 12:02:46 | WARD_B_TEMP_02 | 35.3 | CRITICAL
2026-06-02 12:02:46 | WARD_B_TEMP_03 | 35.0 | CRITICAL
2026-06-02 12:02:46 | WARD_B_TEMP_04 | 34.6 | CRITICAL
2026-06-02 12:02:46 | WARD_B_TEMP_05 | 35.3 | CRITICAL
2026-06-02 12:02:47 | WARD_B_TEMP_01 | 40.4 | CRITICAL
2026-06-02 12:02:47 | WARD_B_TEMP_02 | 40.3 | CRITICAL
2026-06-02 12:02:47 | WARD_B_TEMP_03 | 35.0 | CRITICAL
2026-06-02 12:02:47 | WARD_B_TEMP_04 | 39.6 | CRITICAL
2026-06-02 12:02:47 | WARD_B_TEMP_05 | 40.0 | CRITICAL
2026-06-02 12:02:48 | WARD_B_TEMP_01 | 37.2 | NORMAL
2026-06-02 12:02:48 | WARD_B_TEMP_02 | 35.7 | NORMAL
2026-06-02 12:02:48 | WARD_B_TEMP_03 | 38.9 | CRITICAL
2026-06-02 12:02:48 | WARD_B_TEMP_04 | 38.1 | CRITICAL
2026-06-02 12:02:48 | WARD_B_TEMP_05 | 40.0 | CRITICAL
2026-06-02 12:02:49 | WARD_B_TEMP_01 | 37.2 | NORMAL
2026-06-02 12:02:49 | WARD_B_TEMP_02 | 36.8 | NORMAL
2026-06-02 12:02:49 | WARD_B_TEMP_03 | 35.6 | NORMAL
2026-06-02 12:02:49 | WARD_B_TEMP_04 | 36.1 | NORMAL
2026-06-02 12:02:49 | WARD_B_TEMP_05 | 38.4 | CRITICAL
2026-06-02 12:02:50 | WARD_B_TEMP_01 | 39.8 | CRITICAL
2026-06-02 12:02:50 | WARD_B_TEMP_02 | 36.7 | NORMAL
2026-06-02 12:02:50 | WARD_B_TEMP_03 | 36.3 | NORMAL
2026-06-02 12:02:50 | WARD_B_TEMP_04 | 39.0 | CRITICAL
2026-06-02 12:02:50 | WARD_B_TEMP_05 | 36.6 | NORMAL
2026-06-02 12:02:51 | WARD_B_TEMP_01 | 35.2 | CRITICAL
2026-06-02 12:02:51 | WARD_B_TEMP_02 | 38.9 | CRITICAL
2026-06-02 12:02:51 | WARD_B_TEMP_03 | 34.9 | CRITICAL
2026-06-02 12:02:51 | WARD_B_TEMP_04 | 38.3 | CRITICAL
2026-06-02 12:02:51 | WARD_B_TEMP_05 | 37.0 | NORMAL
2026-06-02 12:02:52 | WARD_B_TEMP_01 | 35.0 | CRITICAL
2026-06-02 12:02:52 | WARD_B_TEMP_02 | 38.7 | CRITICAL
2026-06-02 12:02:52 | WARD_B_TEMP_03 | 38.6 | CRITICAL
2026-06-02 12:02:52 | WARD_B_TEMP_04 | 40.3 | CRITICAL
2026-06-02 12:02:52 | WARD_B_TEMP_05 | 35.9 | NORMAL
2026-06-02 12:02:53 | WARD_B_TEMP_01 | 34.8 | CRITICAL
2026-06-02 12:02:53 | WARD_B_TEMP_02 | 37.4 | NORMAL
2026-06-02 12:02:53 | WARD_B_TEMP_03 | 37.3 | NORMAL
2026-06-02 12:02:53 | WARD_B_TEMP_04 | 39.3 | CRITICAL
2026-06-02 12:02:53 | WARD_B_TEMP_05 | 36.8 | NORMAL
